phrase,total_occurrences,posts_with_phrase
whether you,133,82
one-eighth share,116,49
world-class,73,49
45 days per year,62,49
1/8 share,65,44
a fraction of the cost,34,29
split eight ways,29,24
sun-drenched,24,24
co-ownership offers,13,12
fraction of the price,12,10
in this guide,8,8
co-ownership allows,8,7
properly structured llc,5,5
breathtaking,7,4
bespoke,6,4
co-ownership represents,4,4
crystal-clear waters,4,4
discerning buyer,4,4
whether or not,4,4
nestled in,10,3
hidden gem,3,3
in this article,3,3
tucked into,2,2
44 days per year,2,1
curated experience,1,1
divided eight ways,1,1
stunning views,1,1
