priority,category,outlet,country,url,contact_path,angle,anchor_to_pitch,notes
HIGH,Property press,Knight Frank Wealth Report blog,UK,https://www.knightfrank.com/research,research@knightfrank.com / press@knightfrank.com,"Owner Survey 2026 data — share findings + dataset access for inclusion in their next Wealth Report",Owner Survey 2026,Knight Frank publishes wealth + property research; actively cite primary survey data
HIGH,Property press,Savills World Research,UK,https://www.savills.com/research,worldresearch@savills.com,"Operator Comparison + Owner Survey methodology — angle for Savills cross-border buyer analysis",Operator Comparison,Their UK Lifestyle / European Cities research teams cover this segment
HIGH,Property press,Mansion Global (Dow Jones),US,https://www.mansionglobal.com,editor@mansionglobal.com,"Cross-Border Tax Briefing for international buyers feature — angle on US estate tax exposure for non-US fractional buyers in Europe",Cross-Border Tax Briefing,Dow Jones property vertical; covers fractional ownership occasionally
HIGH,Property press,Financial Times House & Home,UK,https://www.ft.com/house-home,house.home@ft.com,"Quote on the 80%+ buyer-preference shift to fractional ownership; reference Survey 2026 numbers",Owner Survey 2026,Liz Rowlinson and the H&H desk cover fractional periodically
HIGH,Property press,Telegraph Property,UK,https://www.telegraph.co.uk/property,property@telegraph.co.uk,"UK 5% SDLT + EU fractional alternatives — link to existing post + Operator Comparison",Operator Comparison + UK SDLT post,Active UK second-home property coverage
HIGH,Property press,Times Bricks & Mortar,UK,https://www.thetimes.co.uk/bricks-mortar,property@thetimes.co.uk,"British buyer post-Brexit fractional patterns — exclusive owner quotes from Survey 2026",Owner Survey 2026,The Sunday Times Bricks & Mortar covers UK overseas property
HIGH,Trade press,Property Industry Eye,UK,https://propertyindustryeye.com,editor@propertyindustryeye.com,"Operator Comparison as industry analysis piece",Operator Comparison,Trade press; receptive to substantive analysis pieces
HIGH,Trade press,IPE Real Assets,Europe,https://realassets.ipe.com,realassets@ipe.com,"Institutional capital in fractional ownership — reference Operator Comparison + Survey",Operator Comparison,Institutional real estate trade publication
HIGH,Wealth press,Spear's Magazine,UK,https://spearswms.com,editor@spearswms.com,"HNWI fractional ownership patterns — Survey 2026 data + Cross-Border Tax angle",Owner Survey 2026,UK HNW lifestyle and wealth publication
HIGH,Wealth press,Citywire Wealth Manager,UK,https://citywire.com/wealth-manager,editor.wm@citywire.com,"Family-office allocation to fractional ownership — Cross-Border Tax + Operator data",Cross-Border Tax Briefing,Wealth manager trade publication
MEDIUM,Property press,The Resident (Marbella),Spain,https://www.theresident.eu,info@theresident.eu,"Spanish coastal fractional ownership trends + price comparison Estepona vs Marbella",Estepona vs Marbella post,English-language Costa del Sol expat publication
MEDIUM,Property press,Olive Press (Spain),Spain,https://www.theolivepress.es,newsdesk@theolivepress.es,"Balearic non-resident purchase ban + how fractional structures sit outside it",Balearic 2026 Rental Law post,English-language Spanish news; covers property regularly
MEDIUM,Property press,Sur in English,Spain,https://www.surinenglish.com,opinion@surinenglish.com,"Costa del Sol fractional market + Estepona analysis",Estepona vs Marbella,Spain English-language daily
MEDIUM,Property press,Kyero Property News,Spain,https://www.kyero.com/en/news,editorial@kyero.com,"Spanish autonomous community tax variation guide for foreign buyers",Cross-Border Tax (Spain section),Spanish overseas property portal with editorial section
MEDIUM,Property press,Costa Brava English,Spain,https://www.costabravaenglish.com,info@costabravaenglish.com,"Begur and Costa Brava 2026 buying guide reference",Begur post,Catalonia English-language
MEDIUM,Property press,The Portugal News,Portugal,https://www.theportugalnews.com,news@theportugalnews.com,"Algarve Golden Triangle co-ownership trend + post-Golden Visa landscape",Algarve post,English-language Portuguese newspaper
MEDIUM,Property press,Algarve Daily News,Portugal,https://www.algarvedailynews.com,info@algarvedailynews.com,"Quinta do Lago / Vale do Lobo fractional inventory analysis",Algarve post,Algarve-specific English news
MEDIUM,Property press,Connexion France,France,https://www.connexionfrance.com,letters@connexionfrance.com,"French SCI structures explained for British buyers post-Brexit",France SCI post,UK-focused French expat publication
MEDIUM,Property press,The Local France,France,https://www.thelocal.fr,news@thelocal.fr,"French taxe d'habitation second-home surcharges — what fractional buyers should know",France 2026 Property Tax post,Anglophone French news
MEDIUM,Property press,Italy Magazine,Italy,https://www.italymagazine.com,editor@italymagazine.com,"Italian Riviera and Lake Como fractional ownership trends",Liguria post + Lake Como surge,English-language Italy lifestyle
MEDIUM,Property press,The Local Italy,Italy,https://www.thelocal.it,news@thelocal.it,"Italian flat-tax regime + how it interacts with fractional buyers' relocation decisions",Liguria + Lake Como posts,Anglophone Italian news
MEDIUM,Travel press,Conde Nast Traveller (UK),UK,https://www.cntraveller.com,letters@cntraveller.co.uk,"Slow Luxury Menorca + Costa Brava gastronomy capital angles",Menorca + Costa Brava posts,Travel-led not property-led; focus on lifestyle
MEDIUM,Travel press,Travel + Leisure,US,https://www.travelandleisure.com,tlfeedback@travelandleisure.com,"Off-season Mediterranean co-ownership — Mallorca hidden gems angle",Mallorca hidden gems,US travel press
MEDIUM,Travel press,Departures (Amex),US,https://www.departures.com,editorial@departures.com,"Wealth Transfer + family multi-generational fractional ownership angle",Great Wealth Transfer post,Amex Black Card lifestyle publication
MEDIUM,Travel press,Robb Report,US,https://robbreport.com,editor@robbreport.com,"Operator comparison (Pacaso US-EU) + ultra-luxury fractional trends",Operator Comparison,US ultra-luxury lifestyle
MEDIUM,Lifestyle blog,View From The Wing,US,https://viewfromthewing.com,gary@viewfromthewing.com,"Cross-Border Tax Briefing — angle on points/miles enthusiasts considering Europe property",Cross-Border Tax Briefing,Influential travel/lifestyle blog
MEDIUM,Lifestyle blog,The Points Guy,US,https://thepointsguy.com,tipsandfeedback@thepointsguy.com,"Pacaso vs European operator comparison for US travellers",Operator Comparison,Points/travel community with property-curious readers
MEDIUM,Property blog,Chris Macintosh / The Capitalist Exploits,EU,https://capitalistexploits.at,info@capitalistexploits.at,"Fractional ownership as alternative real estate exposure for international investors",Operator Comparison,Investor-focused contrarian newsletter
MEDIUM,Property blog,International Living,US,https://internationalliving.com,letters@internationalliving.com,"Co-ownership as relocation half-step for retirees considering Europe",Cross-Border Tax + Algarve/Spain posts,US expat / retirement publication
MEDIUM,Property blog,Live and Invest Overseas,US,https://www.liveandinvestoverseas.com,info@liveandinvestoverseas.com,"Best European fractional destinations for US buyers — angle on cross-border tax",Operator Comparison + Cross-Border Tax,Kathleen Peddicord's overseas property network
LOW,Property press,Property Investor Today,UK,https://www.propertyinvestortoday.co.uk,editor@propertyinvestortoday.co.uk,"Operator Comparison as industry analysis",Operator Comparison,UK landlord/investor trade press
LOW,Property press,European Property News,Europe,https://europeanpropertynews.com,info@europeanpropertynews.com,"Cross-border fractional structures guide",Cross-Border Tax Briefing,European real estate trade press
LOW,Property press,The Move Channel,UK,https://www.themovechannel.com,info@themovechannel.com,"International property fractional trends + Operator comparison",Operator Comparison,UK overseas property portal
LOW,Property press,A Place in the Sun magazine,UK,https://www.aplaceinthesun.com,editorial@aplaceinthesun.com,"UK buyer post-Brexit fractional patterns",British buyer post + Owner Survey,UK overseas property TV brand and magazine
LOW,Wealth press,Bloomberg Pursuits,Global,https://www.bloomberg.com/pursuits,pursuits@bloomberg.net,"Owner Survey 2026 data — angle on millennial/Gen X fractional buyer growth",Owner Survey 2026 + Gen Z post,Bloomberg lifestyle vertical
LOW,Wealth press,Fortune (Wealth section),US,https://fortune.com,wealth@fortune.com,"Family-office fractional ownership allocation analysis",Operator Comparison + Cross-Border Tax,US business publication
LOW,Wealth press,Forbes Real Estate,US,https://www.forbes.com/real-estate,realestate@forbes.com,"Operator Comparison piece for US international property buyers",Operator Comparison,Open to contributor pieces
LOW,Wealth press,Worth Magazine,US,https://www.worth.com,editorial@worth.com,"Cross-Border Tax Briefing as wealth-planning guide",Cross-Border Tax Briefing,US HNW lifestyle and wealth
LOW,Trade press,Estate Agent Today,UK,https://estateagenttoday.co.uk,editor@estateagenttoday.co.uk,"Co-ownership market growth implications for traditional agents",Operator Comparison,UK estate agent trade
LOW,Trade press,Real Estate Capital Europe,Europe,https://www.recapitalnews.com,europe@recapitalnews.com,"Institutional capital flows into fractional ownership platforms",Operator Comparison,Institutional real estate
LOW,Travel press,Suitcase Magazine,UK,https://suitcasemag.com,info@suitcasemag.com,"Slow luxury Menorca / Italian Riviera lifestyle angles",Menorca slow luxury + Liguria,UK travel quarterly
LOW,Travel press,Coastal Living,US,https://www.coastalliving.com,editor@coastalliving.com,"European coastal co-ownership guide for US buyers",Costa de la Luz + Cote Vermeille + Algarve,US coastal lifestyle
LOW,Travel press,Outside Magazine (Adventure),US,https://www.outsideonline.com,editor@outsideonline.com,"Dual-season Alpine co-ownership — climate change altitude impact angle",Alpine year-round + La Plagne posts,US adventure/outdoor lifestyle
LOW,Niche newsletter,The Browser,UK,https://thebrowser.com,editor@thebrowser.com,"Cross-Border Tax Briefing as long-form research — they curate substantive pieces",Cross-Border Tax Briefing,Curator of best long-form articles
LOW,Niche newsletter,Stratechery,US,https://stratechery.com,ben@stratechery.com,"Operator Comparison — fractional ownership as software-enabled new asset class",Operator Comparison,Tech business newsletter; possible cross-pollination angle
LOW,Niche newsletter,Marker by Medium,US,https://marker.medium.com,marker@medium.com,"Owner Survey 2026 data piece",Owner Survey 2026,Business publication on Medium
LOW,Niche newsletter,Garbage Day (Ryan Broderick),US,https://www.garbageday.email,ryan@garbageday.email,"Long-tail outreach — fractional ownership as cultural shift among millennials",Owner Survey + Gen Z post,Internet culture newsletter; unusual angle
LOW,Property blog,RetireFearless.com,US,https://retirefearless.com,contact@retirefearless.com,"European fractional ownership for retirees considering relocation",Cross-Border Tax + Algarve,US retirement-planning content
LOW,Property blog,The Property Pundit,UK,https://thepropertypundit.com,editor@thepropertypundit.com,"Industry analysis: Operator Comparison + Owner Survey 2026",Operator Comparison,UK property opinion blog
LOW,Property blog,Property Reporter,UK,https://www.propertyreporter.co.uk,editorial@propertyreporter.co.uk,"UK overseas property fractional growth piece",Owner Survey 2026,UK property trade
