slug,title,category,sentence_count,shared_sentences,template_pct,ai_tells_hit,rewrite_priority_score
mallorca-hidden-gems-secret-coves-southwest-villages-guide,"Hidden Mallorca: Secret Coves, Ancient Villages and the Off-Season Magic Most Tourists Never See",Co-Ownership Basics,125,5,4.0,11,59.0
luxury-property-co-ownership-membership-model-smart-buyers,The Membership Model for Luxury Property: Why Smart Buyers Choose Co-Ownership Over Buying the Whole,Properties & Destinations,113,14,12.4,7,47.4
cote-vermeille-co-ownership-property-mediterranean-france,Co-Ownership on France's Côte Vermeille: Mediterranean Luxury at Half the Riviera Price,Properties & Destinations,108,13,12.0,7,47.0
palm-springs-co-ownership-desert-luxury-guide-2026,Palm Springs Co-Ownership: The Smart Way to Own Desert Luxury in 2026,Co-Ownership Basics,135,11,8.1,7,43.1
uk-second-home-tax-co-ownership-european-property-savings,UK Second Home Tax Is Now 5%: Why British Buyers Are Switching to Co-Ownership in Europe,Co-Ownership Basics,121,9,7.4,7,42.4
co-ownership-lisbon-principe-real-guide-2026,Why Co-Ownership Is the Smartest Way Into Lisbon's Most Exclusive Neighbourhood in 2026,Properties & Destinations,118,6,5.1,7,40.1
great-wealth-transfer-family-co-ownership-holiday-homes-2026,The Great Wealth Transfer: Why Families Are Choosing Co-Ownership Holiday Homes in 2026,Legal & Finance,143,13,9.1,6,39.1
costa-smeralda-sardinia-co-ownership-destination-2026,Costa Smeralda: Why Sardinia's Emerald Coast Is Europe's Hottest Co-Ownership Destination in 2026,Properties & Destinations,100,8,8.0,6,38.0
costa-de-la-luz-cadiz-co-ownership-property-investment-guide-2026,Costa de la Luz Property: Why Cádiz Is Spain's Smartest Co-Ownership Bet in 2026,Properties & Destinations,127,10,7.9,6,37.9
foreign-buyer-property-restrictions-co-ownership-solution-2026,Foreign Property Buyers Face Growing Restrictions — How Co-Ownership Offers a Smarter Path in 2026,Legal & Finance,118,9,7.6,6,37.6
sotogrande-co-ownership-property-luxury-resort-guide-2026,Sotogrande 2026: Why Europe's Most Exclusive Resort Is the New Frontier for Co-Ownership Property,Properties & Destinations,106,13,12.3,5,37.3
waterfront-co-ownership-property-luxury-shared-investment-2026,Waterfront Co-Ownership: Why Shared Luxury on the Water Is the Smartest Property Move in 2026,Market Insights,124,2,1.6,7,36.6
the-algarve-golden-triangle-why-portugals-most-exclusive-coast-is-europes-smartest-co-ownership-destination-in-2026,The Algarve Golden Triangle: Why Portugal's Most Exclusive Coast Is Europe's Smartest Co-Ownership D,Properties & Destinations,115,7,6.1,6,36.1
sotogrande-property-co-ownership-after-golden-visa-ends,Sotogrande Property After Spain's Golden Visa Ends: Why Co-Ownership Is the Smartest Way In,Properties & Destinations,120,13,10.8,5,35.8
balearic-islands-property-prices-co-ownership-smart-buyers-guide,Balearic Islands Property Prices Are at Record Highs — Here's How Smart Buyers Are Getting In,Co-Ownership Basics,125,7,5.6,6,35.6
the-great-wealth-transfer-how-a-new-generation-is-buying-luxury-second-homes-through-co-ownership,The Great Wealth Transfer: How a New Generation Is Buying Luxury Second Homes Through Co-Ownership,Co-Ownership Basics,105,11,10.5,5,35.5
championship-golf-course-homes-co-ownership-investment-guide,Championship Golf Course Homes: Why Co-Ownership Is the Smartest Way to Own on the Fairway,Properties & Destinations,113,6,5.3,6,35.3
paris-left-bank-property-co-ownership-arrondissement-guide-2026,Paris Left Bank Property: The Arrondissement-by-Arrondissement Guide to Co-Owning on the Rive Gauche,Properties & Destinations,117,6,5.1,6,35.1
digital-nomad-resort-towns-luxury-property-remote-work,Digital Nomad Resort Towns: How Remote Work Is Reshaping Luxury Property Markets Across Europe and t,AI & Technology,121,0,0.0,7,35.0
begur-spain-smartest-co-ownership-investment-costa-brava-2026,Why Begur Is the Smartest Co-Ownership Investment on Spain's Costa Brava in 2026,Properties & Destinations,112,11,9.8,5,34.8
ibiza-restored-finca-co-ownership-investment-guide,Why Ibiza's Restored Fincas Are the Smartest Co-Ownership Investment in the Balearics,Properties & Destinations,109,5,4.6,6,34.6
liguria-co-ownership-italian-riviera-luxury-property-guide,Liguria Co-Ownership: Why the Italian Riviera Is Europe's Best-Kept Secret for Shared Luxury Propert,Properties & Destinations,129,12,9.3,5,34.3
co-own-luxury-paris-apartment-affordable-share-guide,"How to Co-Own a Luxury Paris Apartment for Under €200,000",Properties & Destinations,120,11,9.2,5,34.2
idle-asset-problem-fractional-ownership-investment-second-homes,The Idle Asset Problem: Why Smart Investors Are Choosing Fractional Ownership Over Empty Second Home,Market Insights,115,10,8.7,5,33.7
ibiza-property-prices-zone-guide-co-ownership-2026,Ibiza Property Price Map 2026: What Every Zone Costs and How Co-Ownership Unlocks Them All,Co-Ownership Basics,113,4,3.5,6,33.5
cagnes-sur-mer-french-riviera-co-ownership-property-guide-2026,Cagnes-sur-Mer: The French Riviera's Smartest Co-Ownership Destination in 2026,Properties & Destinations,104,8,7.7,5,32.7
second-home-buyers-prefer-co-ownership-2026,The Second Home Problem: Why 80% of Buyers Now Prefer Co-Ownership,Legal & Finance,103,13,12.6,4,32.6
co-ownership-mainstream-smartest-way-buy-second-home,From Niche to Normal: How Co-Ownership Became the Smartest Way to Buy a Second Home,Co-Ownership Basics,107,13,12.1,4,32.1
10-myths-about-fractional-property-ownership-that-are-holding-you-back-from-your-dream-holiday-home,10 Myths About Fractional Property Ownership That Are Holding You Back From Your Dream Holiday Home,Co-Ownership Basics,117,8,6.8,5,31.8
